mos,fr
A futã kiime n zags zãnga.,Ses vêtements sont tombés en lambeaux.
Rɩk pe-zakã n wa tɩ b wʋk sagdã.,Amène la corbeille usée pour y mettre les ordures.
Yaa bãmb pisi ne zaka.,Ce sont un peu plus de vingt d'eux.
Tõnd sɛgd n kẽ d paoongẽ n yãk zakã n kõ Wẽnnaam tʋʋmdã yĩnga.,Nous devons donner la dîme pour l’œuvre de Dieu (ex. aider les pauvres).
Rɩk wãkã n zak tãndã n yaool n tabe.,Tourne la terre avec la houe et puis piétine-la.
"Koomã ka tʋʋl wʋsg ye, yaa zal-zale.","L'eau n'est pas très chaud, elle est tiède."
"A tilga a yirã zalle, a pa pẽneg ned ba a yembr ye.","Il a construit sa maison à l'écart, il n'y personne à côté."
Ninsaal-zalle.,Personne vaurien.
"Peend sã n wʋg tɩ pa kẽ, yaa peen-zalzaaga.",Une bande de tissu qui n'est pas bien serrée est un tissu mal tissé.
A raa mobill-paall zam-zam.,Il a acheté une voiture flambante neuve.
B kɛɛ ki wã n zam zĩ-yende.,Ils ont coupé le mil et ils l'ont entassé à un endroit.
Liuulã zaoo tɩɩgã.,L'oiseau est assis sur l'arbre.
Wed-moaag n da zaood n loogd ka.,Le cheval passe par ici et est parte.
Zaabr lalg zaoo yibeoog lalg zugu.,"Le mur du soir se pose sur le mur du matin. (proverbe indiquant: le passé est le support du présent, une base sur laquelle on doit s'appuyer pour se projeter dans l'avenir.)"
Tak tɩ m tak yaa wam-zaoko.,"A tirer à hue et à dia, on finit par casser la calebasse. (Proverbe: nous devons cultiver le pardon, la tolérance, l'entente et accepter le compromis, le sacrifice. C'est le gage d'une paix, d'une cohésion dans toute communauté. dans le cas contraire, on aboutit au drame et au pire)"
Maneg biigã n zombg t'a zaoogã ka zems ye.,Arrange la manière que l'enfant est assis car sa position n'est pas comme il faut.
A tʋma laagẽ wã n zaoog samsr a ye n leemse.,Il a enlevé rapidement un beignet de l'assiette et l'a mis dans la bouche.
Rɩk biigã n zaoolg goeelã zugu.,Assois l'enfant sur le banc.
Yik n zaoond goeelã.,Lève-toi et assois-toi sur le banc.
A Zã zapda neooda raagẽ wã.,Jean fait des chaussures en cuir au marché.
Maan-y zar-zar tɩ d looge.,Faites vite qu'on puisse partir.
Bãagã zarb-a-la zãnga.,La maladie a fait qu'il est devenu tout misérable.
Yãk gẽodgã n zar zẽedã.,Répands de la farine sur la sauce.
Zã laagã sõama tɩ ra lʋɩ ye.,Tiens bien l'assiette pour qu'elle ne tombe pas.
Bõe n luund zãa wã?,Qu’est-ce que pend lourdement comme ça ?
B rɩk bãadã zãa-zãa n tɩ rɩgl logtorã taoore.,Deux personnes amènent le malade entre eux devant le médecin.
A wãba mangɩ-kãs tɩ zãab a yẽnã.,Il a mangé une mangue non-mûre et cela a agacé ses dents.
Zãag f meng ne kom-wẽnsã.,Éloigne-toi des enfants de mauvais comportement.
Wẽnd na zãag wagdr ne kõsgo.,"Que Dieu préserve le voleur de la toux. (Proverbe: il y a des moments où des erreurs ne sont pas permises, car elles produiront des conséquences préjudiciables)"
Ka-zãande.,Mil suspendu.
Zãas biigã t'a gũsi.,Tapote l'enfant car il s'endorme.
Maan zãb-zãb tɩ d paam n ta.,Fais doucement que nous allons arriver.
Kug-bedr n yi tãngã zug n wa zãbg baagã zugu.,Une grosse pierre s'est détaché sur la montagne et a roulé venir tomber sur le chien.
Kũun ka zãdgd ye.,On ne refuse pas un don / cadeau.
"Sã n dɩk bũmb n wẽ kutu, a tõe n zãeeme.","Si l'on frappe un fer, cela peut vibrer."
A yika vugr zãe.,Il s'est levé vigoureusement.
"Kõat baooda yel-sõmde, tɩ zãgsd baood beem.","Le généreux cherche l'amitié et celui qui refuse (le don) cherche des inimités. (Proverbe: le don crée des relations d'amitié, de bonne cohabitation et de confiance. Refuser un don, c'est briser cette chaîne de relations et fait naître la méfiance)."
A zãgsame t'a kõn kẽng Bobo ye.,Il a refusé d'aller à Bobo.
Yãk-y koom n zãgs tɩɩsã tɩ b ra ki ye.,Arrosez les arbres pour qu'elles ne meurent pas.
Zẽ-zãgsenga.,Sauce non gluante.
Naafã zãk-a-la ne a yɩɩlã n lobge.,Le bœuf l'a soulevé avec ses cornes et l'a jeté par terre.
A ninã yaa zãm-zãm ne gõeem.,Ses yeux sont somnolant de sommeil.
Sugr soab n so zãma.,"La foule appartient à celui qui est tolérant. (Proverbe: une personne qui a l'amitié de tout le monde, est soutenue lors de ses événements aussi bien heureux que malheureux. C'est un honneur et une fierté pour elle.)"
A rat n zãmba maam n deeg m ligdi.,Il veut me tremper et prendre mon argent.
A gãee zãmbeelle.,Il est couché sur le dos.
"B sã n yet tɩ pagb gãee zãmbɛɛla, zu-beed soab tat m mikame tɩ b fãa yikame.","Si on dit que des femmes sont couchées sur le dos, le malchanceux arrivera et trouvera qu'elles se sont toutes levées. (proverbe: les malchanceux ratent même les plus belles occasions)"
Zãmb noaag pa wekd ye.,"La poule acquise malhonnêtement n'obtient pas de poussins. (proverbe: tout ce qui est acquis ou bâti sur un base malhonnête, ne prospère pas et ne rends pas service à son auteur)"
A zãmsa moor kaoreng n bãnge.,Il a appris à lire le mooré.
A gãeeme n zãmsdẽ.,Il dort et rêve.
A zagl yaa sɩl-sãang n pãbd zãmse.,"Untel est un épervier étranger qui s'attaque aux chauves-souris. (Proverbe: quand quelqu'un commet des graves fautes, c'est par ignorance et naïveté, car, s'il était au courant des conséquences de ses actes et gestes, il ne les poserait pas.)"
Zĩrẽ zãn-daoog ka palgd sɩd zãnd ye.,La poutre du mensonge ne peut être utilisée pour construire le hangar de la vérité. (proverbe disant: tout ce qui est bâti sur la base du mensonge ou de la malhonnêteté ne peut pas être durable.)
A gãee a zãn-kudgã zugu.,Il est couché sur son dos.
A fʋka a zãnd n tʋmdẽ.,Il est torse nu et travaille.
Bag kɩɩs zãndid-a bag waooga. / Bag kɩɩs yaa bag kor-bugd-a.,"Celui qui nie le devin sera porteur du sac du devin. (proverbe: quand on feint d'ignorer l'importance de quelque chose qui pourtant est utile et tout le monde lui accorde de l'importance, on finira par lui accorder une importance quand on y fera recours)"
Ad roogã zãnde.,Voici une maison qui est haute.
"Rãamã tara zãnde, a yaa miisga.","La bière a un défaut, elle est acide / aigre."
Zãndg peoogã n looge.,Enjambe la corbeille et continue.
Lalgã zãndlem ka sek ye.,La hauteur du mur ne suffit pas.
A waa zãng-zãnga.,Il est venu au complet.
Maan-y sũ-mar ne maam tɩ m na n yaoo samdã zãnga.,Prends patience envers moi et je te paierai toute ma dette.
Vɛɛrã pida zãnga.,Le verre est entièrement plein.
Zãngĩnd kõn peng ligd ye.,Un vaurien ne prête pas de l'argent.
"Fo sã n tõdg piisi wã reegr tɩ ka waooga, na n yɩɩ zãngr bõn ne-fo.","Si tu refuses de prendre ces cent francs disant que ce n'est pas beaucoup, tu auras une perte totale."
A zĩi a yembr zãntãa.,Il est assis tout seul.
Goeelã yaa zãondg wʋsgo.,Le banc est très haut sur pied.
Baall yaa zãongo.,Le mouton est haut sur pattes.
Yaa tẽn-zãorgo.,C'est un pays éloigné.
Tõnd zãra ne tẽng pʋgẽ.,Nous sommes loin du centre ville.
B bee tẽn-zãrgẽ.,Ils sont dans une ville éloignée.
Biigã yãbdame n zedgdẽ.,L'enfant pleure à ne pas finir.
A gomdame n zedg wa bi-pugla.,Il parle sur un ton chantant comme une fille.
"Biigã bee neere, yaa bi-zelbre.","L’enfant est en forme, c'est un joli enfant."
Zĩigã kʋɩɩme tɩ ki wã vãad zelgdẽ.,L'endroit est sec et les feuilles de mil se fanent.
Maan-y zem-zem tɩ dũni yaa gũusgu /sugri.,Faites doucement car le monde est le pardon / indulgence.
Yãk wʋsg zembal n kõ-ma.,Prends beaucoup pour moi.
B yiibã fãa zema taaba.,Tous les deux sont égale.
A kɩtame tɩ ba-rãmbã paam zems-n-taar ne b kambã.,Il a fait réconcilier les pères avec leurs enfants.
"Zems-taab sã n kaẽ, yaa zab wakat fãa.",S'il n'y a pas d'entente c'est la bagarre tout le temps.
B sẽn gʋlsã zemsa wa neb nins sẽn dag n yãnd yellã.,Ce qu'ils ont écrit est conforme à ce que les gens ont vu.
B zemsa taab n tɩ zu pʋg-yãangã.,Ils se sont entendus d'aller dérober la vieille femme.
Koaasã kɛɛ nemdã n zendme.,Le boucher a déchiqueté la viande
A rat n dɩka a meng n zeng a kẽema.,Il veut se mesurer à son frère aîné.
Sa-ko-zeongo. Sa-koomã zãndlem.,Quantité d'eau. Pluviométrie.
A põsa kamaanã n zer tɩɩgã willi.,Il aligne les épis de maïs sur la branche de l'arbre.
Fu-zeremde.,Petit chemise.
A kɛɛ nemdã n zerm-a bãooneg-bãoonego.,Il a coupe la viande en petits morceaux.
"Biigã ka tʋm sõama ye, a karen-saambã kõ-a-la zero.","L'enfant n'a pas bien travaillé, le professeur lui a donné la note zéro."
Zẽ-noog yaa lagfo.,Proverbe: La bonne sauce coûte de l'argent.
Ned geta a ma zẽ-rʋk la a rɩk paga.,On regarde la marmite de sa mère avant de chercher une femme. (Proverbe: chaque personne doit avoir des projets dont elle estime avoir les moyens et capacités pour les réaliser.)
"F yak sã n paam soaamba, f paama zẽedo.","Si ton voisin gagne un lièvre, tu as gagné de la sauce (viande). (Proverbe: la solidarité doit être réelle entre voisins)"
Sãyã sẽe kutã t'a zẽeg n lebg miuug yʋss.,Le forgeron a mis le fer dans le feu et le fer est devenu rouge.
Yãk ka-pɛɛlgã la f bas ka-zẽegemdã.,Prends le sorgho blanc et laisse le sorgho rouge.
A weka zẽemdã n yãk a zẽem-biigã n wãbe.,Il a ouvert la moule et a pris la moule elle-même et l'a mangé.
Pagã zẽename n yaa muddd.,La femme est de teint clair.
Rɩk bengdã n zẽgen wĩntoogẽ tɩ zãnzũyã yi.,Sèche les feuilles de haricots au soleil pour faire sortir les vers.
Nangur-zẽgsma.,Arachides à moitié sèches.
Rao wã lebga nin-zẽgzẽka t'a pãngã ka le waoog boto ye.,L'homme est arrivé à un âge mur et sa force a diminué un peu.
A zẽka kugrã.,Il a soulevé la pierre.
Yɛdg zomã t'a zẽk bilfu.,Étale la farine au soleil pour la sécher un peu.
Gom-zẽna.,Langues étrangères.
A zẽna pɛɛmã ne zẽnem.,Il a imprégné les flèches avec de poison.
A sɩnga a pɛɛmã zẽneg ne zẽnmã.,Il a commencé l'application de poison sur ses flèches.
Waaf zẽnem kʋʋdame n yɩɩd nanga.,Le poison du serpent est plus dangereux que celui du scorpion.
Peen-zẽnemde.,Flèche empoisonnée.
Nin-zẽnga.,Une personne étrangère.
B ka pʋɩ koodã n zẽng ned ba a ye ye. ,On ne partage pas la récolte et fait une différence entre les gens dans le partage.
Zẽemã looga zẽeda t'a noorã zẽnem zãnga.,Il a trop de potasse dans la sauce et ainsi le goût est trop potassé.
"Ka bi-bilf ye, zoe n lebga ninsaan-zẽnzẽka.","Il n'est plus un petit enfant, il est devenu une personne adulte."
Rõanda yaa yʋʋm-zẽnzẽk hal tɩ rɩɩb yell yaa toogo.,"Cette année il y a un manque de nourriture, le problème de nourriture est difficile."
Bug-zẽoongo.,Charbon de bois.
Yãmb zɛɛ naong rãmb teed n pids y roto.,Vous avez pillé les biens des pauvres et avez rempli vos maisons.
Biigã ka zɛɛd yãbr ye.,L'enfant ne tarde pas à pleurer.
"F sã n so biigã, bɩ f zɛ-a kaam.","Lorsque tu as lavé l'enfant, oins-le avec de la pommade."
A nus a yiibã yaa kaam zɛɛ.,Ses mains sont plein d'huile.
No-zɛɛbre.,Bouche aux grosses lèvres pendantes.
Ka-sãnd-sõng ka tat zɛɛgẽ ye.,"Le bon épi de mil n'arrive pas à l'aire de battage. (Proverbe: dès que l'occasion se présente, on se l'approprie même sans en être le destinataire.)"
D zɛɛg n kuil tɩ saaga.,Allons vite à la maison car il y a la pluie (qui vient bientôt).
A kẽnd n zɛɛmdame.,Il marche en sautillant.
A gãda a nugã n zɛgda.,Il secoue longtemps sa main.
"Zɛgemd biigã n maneg n loe tɩ ka rẽ, a na n lʋɩɩme.",Fais remonter l'enfant sur ton dos sinon il va tomber.
"Weefã sẽn kẽed bokẽ wã, la teedã sẽn zɛgendã.","Quand le vélo entre dans un trou, son bagage secoue."
Weefã kẽnda bɩnd tɩ wed-kɩɩmã zɛgsdẽ.,Le cheval trotte et le chevalier bouge de bas en haut.
Rɩ-zɛrg n ket ka.,Une minuscule portion de nourriture reste ici.
Reeg sag-zɛsg n kalemde.,Avale le minuscule morceau de tô.
B sama sagdã tɩ ruk zib-zibi.,Ils ont entassé les ordures très haut.
Kom n tar-a t'a tõsg beng-zibr n wãbe.,Il a faim et cueille de haricots pour manger.
Zig-wãad biig kiida ne zigri.,L'enfant de l'exciseuse meurt avec le clitoris. (Proverbe: il s'agit de quelqu'un qui produit des biens ou des services et qui n'en profite pas. Comme on le dit le cordonnier est toujours mal chaussé)
Tʋʋmã yaa wʋsg tɩ lebg zigl-zagle.,"Il y a beaucoup de travail, c'est devenu excessif."
Bugmã yaa zira n wit ziuud-ziuudi.,Le feu reste ardent et brûle avec des grandes flammes.
Bao raad n zirg bugum tɩ d sẽ kamaana.,Rends le feu ardent avec du bois puis on va griller du maïs.
Sayã basame tɩ bugmã zird t'a rɩk kutã n lose.,Le forgeron fait que le feu brûle ardemment pour y mettre le fer.
"Sẽn zãgs raadã petrollã, tao-tao bal tɩ bugmã zirimdame.","Si on met du pétrole sur le bois, le feu va vit prendre feu et brûler ardemment."
B yõoga mo-koeemsã tɩ bugmã tar ziuud-ziuud.,Ils ont mis feu à la paille sèche et le feu brûle en faisant des grandes flammes.
M zĩi tẽnga.,Je suis assis par terre.
"M bãneg m kẽnã, la m maan gũusgu.",Je ralentis et je fais bien attention.
Zĩ-boog belg wãoor t'a yĩm a naooda.,Le beau temps a flatté le lépreux et il a abandonné ses chaussures. (Proverbe: on ne doit pas abandonner ses habitudes pour des opportunités qui sont passagères.)
Fo tɩ loee bʋʋgã zĩ-peellẽ t'a wãb bõe?,"Tu as attaché la chèvre à la clairière, alors elle va manger quoi ?"
Ne y zĩ-sobdo.,Bonsoir.
Zĩind-n-taag yaa ned sẽn be ne-f zag-yɛnd bɩ tẽn-yɛnga.,Un cohabitant est une personne qui habite avec toi dans l même habitation ou dans la même ville.
Zĩigã na n yɩɩ maasg rũndã.,Aujourd'hui il va être un temps humide.
Zĩigã lebga bʋgsgo.,L'endroit est devenu calme.
Nu zĩis a nu yaa pisi la a nu.,Cinq multiplié par cinq fait vingt-cinq.
Rao a yembr n dag n be be tɩ zĩn-dẽgd tar-a.,Il y avait là un homme ayant un esprit de démon impur.
Pagã zĩndga a biigã a gɛẽ wã n yaool kõ-a bĩisri.,La femme fait asseoir son enfant sur ses cuisses avant de et lui donner le sein. 
M na n zĩnda ka.,Je vais m’asseoir ici.
Koɛɛg zĩnda saasẽ n yeele:,Une voix partit du ciel disant :
B peega bi-bilf n zĩnig-a b sɛɛgẽ. ,"Il prit un petit enfant, le plaça près de lui."
yage zĩrẽ.,mentir
Zĩrẽ-be-ned kĩin pa kẽed zãng ye.,Les pintades du menteur ne reviennent pas toutes à la maison. (proverbe disant: il est difficile de faire confiance aux propos de celui qui ment habituellement du fait qu'il ne dit jamais la vérité)
"Talg yel-sõm pa tat naab ye, Talg zĩrẽ-beed n tat naaba.","Le bienfait du roturier n'arrive pas au chef, seul le mensonge du roturier qui arrive au chef. (proverbe: quand on pose des bonnes actions, quand on a des bonnes idée, on est rarement apprécie. Ce qui n'est pas le cas quand on commet des erreurs ou formule de critiques défavorables)"
Tõnd dɩɩme n tɩg n tol n zɩ n kuli.,Nus avons mangé assez et amenons même les reste à la maison.
Yãmb zɩ mam sẽn ya a soaba.,Vous ne savez pas qui je suis.
Yãmb zɩ n karem bũmb ning a Zã sẽn maan b yel-pakrã wakat la?,N'avez-vous jamais lu ce que fit Jean un jour où il se trouvait en difficulté ?
Zɩ n yã pa kis a yaool n yã ye.,"N'avoir jamais vu n'empêche pas qu'on en voie. (Proverbe: l'homme ne doit pas jurer qu'il ne connaîtra pas ce qu'il n'a pas connu de son vivant. S'il a longue vie, il sera témoin de tous les changements qui auront lieu et auxquels il est appelé à s'accommoder.)"
Rɩ-noang ka kiid t'a yãad zɩ tiir ye.,Le gourmand ne meurt pas sans que ses intestins ne soient au courant. (Proverbe: un individu qui recherche l'argent avec cupidité ne hésite pas à s'y engager ignorant même les risques qu'il encourt dans certaines situations.)
"Naab ma sẽn koosd maasa, yaa zɩ-n-yã.",Que la femme du chef vend des des galettes c'est du jamais vu.
"Zɩɩlem lebsda ned poorẽ, la bãngr tõeeme t'a kẽng toore.","L'ignorance fait reculer l'homme, mais la connaissance le fait avancer."
Zɩlemd ne yẽn bee taab wakat fãa la b mi n yõsga taaba.,La langue et les dents sont ensemble tout le temps mais il arrive qu'elles se fassent la bagarre. (Proverbe: la longue cohabitation n’empêche pas les disputes.)
Rɩk yolgã n zɩlg bõangã tɩ d looge.,Mets le sac sur l'âne et on va partir.
Kugrã zɩsame.,La pierre est lourde.
"A waame n mik tɩ b leb n gõeeme, bala, b ninã n zɩsga ne gõeem.",Il revint encore auprès d'eux et les trouva endormis; ils ne pouvaient pas garder les yeux ouverts (les yeux sont devenus lourds..
Yol-zɩsgo.,Sac lourd.
Kɩlo yaa zɩslem makdga.,Kilogramme c’est une mesure de poids.
"Yãmb a zɩtba, bao-y bãngre! ","Vous êtes des gens qui ignorent, cherchez la connaissance !"
Kug-zɩʋsgo.,Pierre lourde.
"F sã n dɩ wãamb n maan f zoa, f rasaar ka paad tɩɩg zug ye.","Si tu te lies amitié avec le singe, ton bâton ne restera pas sur l'arbre. (proverbe: les relations humaines ne sont pas à négliger, elles doivent être créées et entretenues)"
A rɩɩme n tɩg n zĩẽ n tar zoadga.,Après avoir assez mangé il est assis et rote.
"Dũni yaa yõgemde, a sã n gãand, bɩ f pĩnd n zoambd-a.","Le monde est comme un chameau, quand il se couche, il il faut se hâter de monter. proverbe disant il faut vite saisir les opportunités qui se présentent, au risque qu'elles s’échappent)"
Ninsaan-zoarenga.,Personne imbécile.
